unit,name
Topf,Kerbel
Stiel(e),Kerbel
Handvoll,Kerbel
noUnit,Baguette
Scheibe(n),Baguette
ml,Kürbiskernöl
etwas,Kürbiskernöl
EL,Kürbiskernöl
g,Schweinefilet
TL,Garam Masala
EL,Garam Masala
g,Marzipan-Rohmasse
ml,Gemüsefond
g,Gemüsefond
l,Gemüsefond
TL,Walnussöl
EL,Walnussöl
noUnit,große Zwiebel
EL,Stärke
TL,Stärke
g,Stärke
Stiel(e),Zitronengras
Stange(n),Zitronengras
g,Pistazien
EL,Pistazien
TL,Pistazien
g,Rote Bete
Knolle(n),Rote Bete
noUnit,Rote Bete
TL,REWE Bio Vielblütenhonig
noUnit,REWE Bio Vielblütenhonig
EL,REWE Bio Vielblütenhonig
g,REWE Bio Vielblütenhonig
noUnit,Birne
g,Butter oder Margarine
EL,Butter oder Margarine
l,REWE Bio Gemüsebrühe (Instant)
ml,REWE Bio Gemüsebrühe (Instant)
g,Rohrohrzucker
TL,Rohrohrzucker
EL,Rohrohrzucker
noUnit,Gemüsezwiebel
TL,gehackte Haselnüsse
EL,gehackte Haselnüsse
g,gehackte Haselnüsse
g,grüne Bohnen
g,Basmatireis
Dose(n),Kidneybohnen
g,Kidneybohnen
noUnit,Vanilleschoten
g,Räuchertofu
noUnit,REWE Beste Wahl Tafelsalz
Tasse(n),Hühnerbrühe
ml,Hühnerbrühe
l,Hühnerbrühe
noUnit,Kopfsalat
Blätter,Kopfsalat
g,Kopfsalat
Blatt,Kopfsalat
großer,Kopfsalat
kleiner,Kopfsalat
g,Rinderhackfleisch
noUnit,Zwetschgen
kg,Zwetschgen
g,Zwetschgen
noUnit,Küchengarn
Stück,rote Äpfel
noUnit,rote Äpfel
noUnit,Zimtstangen
noUnit,Alufolie
TL,REWE Feine Welt Fleur de Sel
Prise(n),REWE Feine Welt Fleur de Sel
noUnit,REWE Feine Welt Fleur de Sel
Prise(n),Kräutersalz
TL,Kräutersalz
noUnit,Kräutersalz
noUnit,rote Chilischoten
g,braune Champignons
noUnit,braune Champignons
g,ja! Raffinade-Zucker
EL,ja! Raffinade-Zucker
Bund,frische Minze
noUnit,frische Minze
Stiel(e),frische Minze
g,frische Minze
g,ja! Mehl
EL,ja! Mehl
Scheibe(n),Frühstücksspeck
g,Frühstücksspeck
g,gekochter Schinken
Scheibe(n),gekochter Schinken
ml,Rinderfond
g,Rinderfond
g,Hähnchenfilet
