nameId,name,amount,unit,unitId,frequency
2575,Mini-Mozzarella,100,g,1,7729
2581,Tomaten,150,g,1,7729
2582,Mozzarella,250,g,1,7729
2591,Risotto-Reis (Arborio oder Vialone nano),500,g,1,7729
2593,Butter,30,g,1,7729
2594,Parmesan,100,g,1,7729
2595,gekochter Schinken,30,g,1,7729
2596,Mozzarella,60,g,1,7729
2597,Mehl,200,g,1,7729
2601,REWE Beste Wahl saure Sahne (10 % Fett),100,g,1,7729
2602,Salatcreme (36 % Fett),50,g,1,7729
2614,Tomaten,300,g,1,7729
2615,getrocknete Tomaten,50,g,1,7729
2616,Mozzarella,300,g,1,7729
2617,Gnocchi,500,g,1,7729
2618,Parmesan,70,g,1,7729
2620,Kirschtomaten,100,g,1,7729
2621,gelbe Cocktailtomaten,100,g,1,7729
2623,Frischer Blätterteig (z. B. von REWE Beste Wahl),275,g,1,7729
